(-0.9310346280191540,0.6617780168370701)
(-0.4498048865716760,0.6871323754100932)
(0.2459691119916470,0.7791064803035999)
(0.8274307821569842,0.8989570249607320)
(1.0755466346575626,0.6190963566528156)
(0.6388648625412613,-0.0659691988834440)
(-0.3103749109980285,-0.7071067811865497)
(-0.7151348649352372,-0.8958926621917658)
(-0.0674959686320644,-0.7433186736110172)
(0.6321056599262729,-0.5923346088852535)
(0.4939172696725218,-0.6463741325901479)
(-0.3682562518460855,-0.8372330446808534)
(-0.9504374561296367,-0.8673522530467774)
(-0.8000293853164776,-0.3305489710759735)
(-0.7117777148940804,0.5200928672946413)
(-0.9051572976438153,0.6104672944200993)
(-0.5578561604692922,-0.1771614480732530)
(0.3386936039928304,-0.6836920242588007)
(0.6909757935123130,-0.0195710895178516)
(0.0398388378316272,0.6914640521746335)
(-0.6681414445694606,0.3555854742868862)
(-0.3893118747086338,-0.5467069067129012)
(0.4961983909795804,-1.1463404901597529)
(0.9135454430466037,-0.9676607067316589)
(0.8425403176717490,-0.1831067498931099)
(0.6004093125132938,0.5669814199536184)
(0.5974435940395569,0.5180588039381830)
(0.7746677350834212,-0.3000054259700116)
(0.9618764420793602,-0.6632068193049553)
(0.5933100847977045,0.0835016645874919)
(-0.2996028103052141,0.7161113822598714)
(-0.7071067811865462,0.3299253043080198)
(-0.0974557202959691,-0.6429468313970906)
(0.6462335960253126,-0.9652708410286039)
(0.4902966654476669,-0.7669007681267941)
(-0.4596694163797322,-0.6358294834389842)
(-0.9110939832857830,-0.6912784183495494)
(-0.8550059105616332,-0.6833404464628674)
(-0.6079008667841467,-0.6380417539936838)
(-0.5924374841143294,-0.8004322227282859)
(-0.7666497415844976,-0.9670240747326137)
(-0.9608083537667275,-0.5467069067128939)
(-0.6217592588949142,0.3555854742868941)
(0.2646599482984813,0.7010531622736117)
(0.7062366888367267,0.2032505192818020)
(0.1364083837889546,-0.6202944829079703)
(-0.6680821863069717,-0.9456888321499538)
(-0.3370009687876402,-0.7742115489721043)
(0.5314064311352587,-0.6251978120835496)
(0.5940696066430223,-0.6692313261807756)
(-0.1692609051203445,-0.8473965857284305)
(-1.0040610911606644,-0.9405466098733900)
(-1.0389660550616246,-0.5480700474895217)
(-0.5494661333108074,0.1124589688918017)
(0.2022615089314113,0.8107653880287045)
(0.7352981629071054,1.1185830846209677)
(0.7941522627910029,0.7071067811865442)
(0.7094094554453622,-0.2116683590612066)
(0.7756810762279195,-0.7142435456788092)
(0.8173059374233584,-0.4048480376891468)
(0.1713980689873232,0.4313363027695188)
(-0.5781131049693076,0.8892520636185740)
(-0.5799044486972038,0.7746571240625648)
(0.1952851691743731,0.6010841868541981)
(0.9327373034220239,0.5703791888840726)
(1.0394747138570570,0.7212012345540462)
(0.5732982813118470,0.7212999546499157)
(-0.1929003898500744,0.7370037746566720)
(-0.7180599299116235,0.9579186444098233)
(-0.8750797086345423,0.7303574414501808)
(-0.7328009245179498,-0.1269687257844046)
(-0.5758235807558145,-0.7139055731938403)
(-0.6876449338369827,-0.4058579884604216)
(-0.7396038931844217,0.4304241556789538)
(-0.7325834497765409,0.9253403239080518)
(-0.6731487741791584,0.8368011754537567)
(-0.6487381402943732,0.7421406574339340)
(-0.7586691320899778,0.8813921521150714)
(-0.9476430948012322,0.6043959497309475)
(-0.5913570501484378,-0.0536172799336188)
(0.3201461427251778,-0.7324962628146248)
(0.7071067811865459,-0.7941522627910027)
(0.0974557202959689,-0.7059262712674363)
(-0.6462335960253129,-0.8620098833478673)
(-0.4902966654476673,-0.8306850419310363)
(0.4052992440710184,-0.1130553688431851)
(1.0611946525565430,0.6416679219565961)
(0.9878406851054769,0.4492809435306951)
(0.3723586996446087,-0.4144482118640920)
(-0.3461513174324577,-0.6568543660643516)
(-0.8019138372775087,0.0725589995460300)
(-0.8557134401702949,0.8100886651402910)
(-0.6817934622778260,0.8700975327127198)
(-0.5653302134569429,0.7065165262269919)
(-0.6969274161280123,0.7881518222566055)
(-0.9531507589451216,0.7451910036286602)
(-0.8258013758163026,0.1718362166767326)
(-0.0500679531896706,-0.5603829019039053)
(0.6031232615397881,-0.9810369084988753)
(0.5642574239056253,-0.9106500534869524)
(-0.2135072974858397,-0.4019593650224843)
(-0.9857058758267118,0.2839126219253446)
(-1.1093126856342195,0.8064204096762920)
(-0.4890019207430212,0.8293649000650047)
(0.3774962236053643,0.6859258578490660)
(0.6905398418581175,0.6484800094716533)
(0.1490592615854610,0.7071067811865487)
(-0.6502084329921298,0.9604399411346021)
(-0.9597402654540941,0.8020624568903518)
(-0.7328700567742099,0.1979075966503164)
(-0.7347345367708082,-0.5220329887910259)
(-0.7893787874337943,-0.8831078580183496)
(-0.4414246037663109,-0.8143490339123202)
(0.3654594391304030,-0.7373912561835643)
(0.8020579783694909,-0.8325667520496569)
(0.8369164282054294,-0.4961983909795742)
(0.6830719203262793,0.3893118747086399)
(0.6712133155796564,0.6969087748664014)
(0.7065706441936844,0.1918365110251233)
(0.7449075145244201,-0.6729858218639090)
(0.7149259966135674,-1.0779041711129291)
(0.6535605218708238,-0.8230894926712578)
(0.6714233845846200,-0.1935853508348369)
(0.8111971312039048,0.4827636998863136)
(0.8308784278234063,0.8094343273732471)
(0.4463776741806829,0.7380793190565189)
(-0.3441487767082718,0.6277236013622602)
(-0.8008206991914132,0.5774867832948467)
(-0.7806788302245047,0.7802798726344741)
(-0.7136651643534437,0.9812765369840227)
(-0.8204021942563615,0.6439233487217182)
(-0.7071067811865457,-0.2297170862917474)
(-0.1620029992388054,-0.7053665964869057)
(0.5874898127459785,-0.1753610472819420)
(1.0730678990218561,0.6157970034446945)
(0.8631842716027061,0.5399298899176119)
(0.3161626514408346,-0.3230566501927478)
(-0.3736382125148225,-1.0368145689306494)
(-0.9408352957186177,-1.0191924280061968)
(-0.9589786132686168,-0.3470010379681785)
(-0.5329871561452714,0.5296084491392126)
(0.1549254888726830,0.6334565930465850)
(0.7672687816717664,-0.1153685818140157)
(1.0826192440236613,-0.6997901208729487)
(0.7345741586626784,-0.1199124858196550)
(-0.1160753604918919,0.6534890418969622)
(-0.6901101039863044,0.2989638713580765)
(-0.3700758771796388,-0.5696187930691964)
(0.4528324549660868,-0.5856006908507032)
(0.8870169794208004,0.2751186733236632)
(0.7823257114220141,1.0123139452888257)
(0.7087936897600268,1.0113666076218990)
(0.8813921521150714,0.4936998751808088)
(0.5468612891370630,-0.1776147232854538)
(-0.3750191098931888,-0.8018459850235846)
(-0.6748448058380817,-1.1008050399882590)
(0.0806578247062814,-0.7071067811865460)
(0.6959566447372760,0.2294464036939138)
(0.1513476620398414,0.7231629486839275)
(-0.6132504071150529,0.3396922832954943)
(-0.5161919404658285,-0.4857064750782309)
(0.2986773998321016,-0.8892520636185741)
(1.0725748214986210,-0.7746571240625652)
(0.9975668839020356,-0.7110410547494084)
(0.4655867907226117,-0.7991393619457322)
(-0.2068764157592715,-0.5149343948734493)
(-0.8255307859828444,0.3266944552104035)
(-1.0158907468554745,0.6587138181638487)
(-0.6794323898276824,-0.1212951297132879)
(0.0470890485463082,-0.6941183356475190)
(0.6557513654587491,-0.3176538020178782)
(0.7932992387877154,0.5602974537808810)
(0.7020515947918816,1.0977647779953836)
(0.8070953586366922,0.9258751212473566)
(0.8006931855917444,0.2756983678015894)
(0.4746988266883498,-0.4285015750227249)
(-0.3118987471927767,-0.8287497901343935)
(-0.8224190126697351,-0.8396859180357559)
(-0.7581496195846126,-0.7140148039629912)
(-0.7262353328942571,-0.8055654608817920)
(-0.9026569533133886,-0.6738463546926466)
(-0.7071067811865450,-0.1002082180162764)
(0.1294136000041798,0.6472982969662644)
(0.7016733771379967,1.0835543239442467)
(0.2390330269897870,0.8748405980172425)
(-0.5813441241506046,0.0887213585156791)
(-0.5358603550684625,-0.6114600726432145)
(0.3135535179803405,-0.4278717749895818)
(0.8883738464225295,0.4238953366869969)
(0.8994431445073058,0.6620857561877865)
(0.6378670838675555,-0.0500679531896778)
(0.5758235807558146,-0.8737469263112114)
(0.7328009245179510,-1.1887426329319051)
(0.8750797086345423,-0.6776907977387197)
